"category","question","answer"
"压力管理","任务堆积时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试四象限任务法。如果状态仍然明显，可以结合番茄钟，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","最近总是DDL 临近，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试番茄钟。如果状态仍然明显，可以结合压力源清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到社团和学习冲突怎么办？","可以先记录触发事件、想法和身体反应，再尝试压力源清单。如果状态仍然明显，可以结合恢复性休息，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","长期疲惫时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试恢复性休息。如果状态仍然明显，可以结合求助沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","最近总是对结果要求过高，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试求助沟通。如果状态仍然明显，可以结合四象限任务法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到任务堆积怎么办？","可以先记录触发事件、想法和身体反应，再尝试四象限任务法。如果状态仍然明显，可以结合番茄钟，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","DDL 临近时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试番茄钟。如果状态仍然明显，可以结合压力源清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到睡前脑子停不下来怎么办？","可以先记录触发事件、想法和身体反应，再尝试固定起床时间。如果状态仍然明显，可以结合睡前放松仪式，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","熬夜后白天困倦时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试睡前放松仪式。如果状态仍然明显，可以结合减少屏幕刺激，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","最近总是考试前失眠，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试减少屏幕刺激。如果状态仍然明显，可以结合渐进式肌肉放松，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到午睡过久怎么办？","可以先记录触发事件、想法和身体反应，再尝试渐进式肌肉放松。如果状态仍然明显，可以结合睡眠记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","醒来后仍疲惫时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试睡眠记录。如果状态仍然明显，可以结合固定起床时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","最近总是睡前脑子停不下来，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试固定起床时间。如果状态仍然明显，可以结合睡前放松仪式，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到熬夜后白天困倦怎么办？","可以先记录触发事件、想法和身体反应，再尝试睡前放松仪式。如果状态仍然明显，可以结合减少屏幕刺激，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","考试前失眠时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试减少屏幕刺激。如果状态仍然明显，可以结合渐进式肌肉放松，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","最近总是午睡过久，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试渐进式肌肉放松。如果状态仍然明显，可以结合睡眠记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到醒来后仍疲惫怎么办？","可以先记录触发事件、想法和身体反应，再尝试睡眠记录。如果状态仍然明显，可以结合固定起床时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","睡前脑子停不下来时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试固定起床时间。如果状态仍然明显，可以结合睡前放松仪式，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","最近总是熬夜后白天困倦，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试睡前放松仪式。如果状态仍然明显，可以结合减少屏幕刺激，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到考试前失眠怎么办？","可以先记录触发事件、想法和身体反应，再尝试减少屏幕刺激。如果状态仍然明显，可以结合渐进式肌肉放松，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","午睡过久时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试渐进式肌肉放松。如果状态仍然明显，可以结合睡眠记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","最近总是醒来后仍疲惫，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试睡眠记录。如果状态仍然明显，可以结合固定起床时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","我遇到睡前脑子停不下来怎么办？","可以先记录触发事件、想法和身体反应，再尝试固定起床时间。如果状态仍然明显，可以结合睡前放松仪式，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"睡眠改善","熬夜后白天困倦时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试睡前放松仪式。如果状态仍然明显，可以结合减少屏幕刺激，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到突然烦躁怎么办？","可以先记录触发事件、想法和身体反应，再尝试情绪命名。如果状态仍然明显，可以结合情绪温度计，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","说不清自己的感受时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试情绪温度计。如果状态仍然明显，可以结合身体信号记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","最近总是情绪波动明显，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试身体信号记录。如果状态仍然明显，可以结合触发因素追踪，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到容易压抑情绪怎么办？","可以先记录触发事件、想法和身体反应，再尝试触发因素追踪。如果状态仍然明显，可以结合情绪日记，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","难以表达委屈时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试情绪日记。如果状态仍然明显，可以结合情绪命名，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","最近总是突然烦躁，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试情绪命名。如果状态仍然明显，可以结合情绪温度计，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到说不清自己的感受怎么办？","可以先记录触发事件、想法和身体反应，再尝试情绪温度计。如果状态仍然明显，可以结合身体信号记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","情绪波动明显时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试身体信号记录。如果状态仍然明显，可以结合触发因素追踪，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","最近总是容易压抑情绪，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试触发因素追踪。如果状态仍然明显，可以结合情绪日记，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到难以表达委屈怎么办？","可以先记录触发事件、想法和身体反应，再尝试情绪日记。如果状态仍然明显，可以结合情绪命名，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","突然烦躁时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试情绪命名。如果状态仍然明显，可以结合情绪温度计，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","最近总是说不清自己的感受，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试情绪温度计。如果状态仍然明显，可以结合身体信号记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到情绪波动明显怎么办？","可以先记录触发事件、想法和身体反应，再尝试身体信号记录。如果状态仍然明显，可以结合触发因素追踪，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","容易压抑情绪时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试触发因素追踪。如果状态仍然明显，可以结合情绪日记，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","最近总是难以表达委屈，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试情绪日记。如果状态仍然明显，可以结合情绪命名，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","我遇到突然烦躁怎么办？","可以先记录触发事件、想法和身体反应，再尝试情绪命名。如果状态仍然明显，可以结合情绪温度计，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"情绪识别","说不清自己的感受时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试情绪温度计。如果状态仍然明显，可以结合身体信号记录，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到室友矛盾怎么办？","可以先记录触发事件、想法和身体反应，再尝试非暴力沟通。如果状态仍然明显，可以结合边界表达，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","被误解时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试边界表达。如果状态仍然明显，可以结合复述确认，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","最近总是不敢拒绝别人，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试复述确认。如果状态仍然明显，可以结合冲突降温，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到关系疏远怎么办？","可以先记录触发事件、想法和身体反应，再尝试冲突降温。如果状态仍然明显，可以结合主动支持，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","沟通后更尴尬时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试主动支持。如果状态仍然明显，可以结合非暴力沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","最近总是室友矛盾，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试非暴力沟通。如果状态仍然明显，可以结合边界表达，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到被误解怎么办？","可以先记录触发事件、想法和身体反应，再尝试边界表达。如果状态仍然明显，可以结合复述确认，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","不敢拒绝别人时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试复述确认。如果状态仍然明显，可以结合冲突降温，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","最近总是关系疏远，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试冲突降温。如果状态仍然明显，可以结合主动支持，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到沟通后更尴尬怎么办？","可以先记录触发事件、想法和身体反应，再尝试主动支持。如果状态仍然明显，可以结合非暴力沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","室友矛盾时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试非暴力沟通。如果状态仍然明显，可以结合边界表达，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","最近总是被误解，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试边界表达。如果状态仍然明显，可以结合复述确认，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到不敢拒绝别人怎么办？","可以先记录触发事件、想法和身体反应，再尝试复述确认。如果状态仍然明显，可以结合冲突降温，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","关系疏远时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试冲突降温。如果状态仍然明显，可以结合主动支持，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","最近总是沟通后更尴尬，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试主动支持。如果状态仍然明显，可以结合非暴力沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","我遇到室友矛盾怎么办？","可以先记录触发事件、想法和身体反应，再尝试非暴力沟通。如果状态仍然明显，可以结合边界表达，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"人际关系","被误解时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试边界表达。如果状态仍然明显，可以结合复述确认，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到复习效率低怎么办？","可以先记录触发事件、想法和身体反应，再尝试目标拆解。如果状态仍然明显，可以结合复习计划表，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","担心挂科时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试复习计划表。如果状态仍然明显，可以结合错题复盘，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","最近总是论文拖延，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试错题复盘。如果状态仍然明显，可以结合行动清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到成绩比较怎么办？","可以先记录触发事件、想法和身体反应，再尝试行动清单。如果状态仍然明显，可以结合阶段反馈，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","未来规划迷茫时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试阶段反馈。如果状态仍然明显，可以结合目标拆解，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","最近总是复习效率低，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试目标拆解。如果状态仍然明显，可以结合复习计划表，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到担心挂科怎么办？","可以先记录触发事件、想法和身体反应，再尝试复习计划表。如果状态仍然明显，可以结合错题复盘，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","论文拖延时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试错题复盘。如果状态仍然明显，可以结合行动清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","最近总是成绩比较，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试行动清单。如果状态仍然明显，可以结合阶段反馈，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到未来规划迷茫怎么办？","可以先记录触发事件、想法和身体反应，再尝试阶段反馈。如果状态仍然明显，可以结合目标拆解，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","复习效率低时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试目标拆解。如果状态仍然明显，可以结合复习计划表，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","最近总是担心挂科，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试复习计划表。如果状态仍然明显，可以结合错题复盘，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到论文拖延怎么办？","可以先记录触发事件、想法和身体反应，再尝试错题复盘。如果状态仍然明显，可以结合行动清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","成绩比较时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试行动清单。如果状态仍然明显，可以结合阶段反馈，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","最近总是未来规划迷茫，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试阶段反馈。如果状态仍然明显，可以结合目标拆解，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","我遇到复习效率低怎么办？","可以先记录触发事件、想法和身体反应，再尝试目标拆解。如果状态仍然明显，可以结合复习计划表，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"学业压力","担心挂科时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试复习计划表。如果状态仍然明显，可以结合错题复盘，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"自我接纳","我遇到总觉得自己不够好怎么办？","可以先记录触发事件、想法和身体反应，再尝试自我同情练习。如果状态仍然明显，可以结合优点证据清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"自我接纳","害怕失败时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试优点证据清单。如果状态仍然明显，可以结合降低完美标准，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"自我接纳","最近总是经常和别人比较，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试降低完美标准。如果状态仍然明显，可以结合成长型思维，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"自我接纳","我遇到自责明显怎么办？","可以先记录触发事件、想法和身体反应，再尝试成长型思维。如果状态仍然明显，可以结合友善自我对话，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"自我接纳","不敢尝试时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试友善自我对话。如果状态仍然明显，可以结合自我同情练习，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
